price,num_bath,num_bed,num_parking,property_size,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,days_since_sale
570000,2,3,1,538,2545,36764,4.925,-33.49914,151.39045,27,1.77,155.2,43.91,3053
1450000,1,3,1,468,10817,46800,3.211,-33.94907,151.19881,6,1.77,155.2,9.37,3051
1250000,1,4,2,676,7287,43472,6.123,-33.73636,151.07741,168,1.77,155.2,18.83,3051
1120000,1,3,2,1208,9311,22724,2.504,-33.93623,150.89729,34,1.77,155.2,29.97,3051
970000,2,4,2,465,11731,53716,4.654,-33.70612,150.90622,54,1.77,155.2,33.2,3051
825000,2,4,2,544,4765,50336,13.744,-33.99074,150.74247,81,1.77,155.2,45.41,3051
1900000,3,4,3,565,12786,34684,2.516,-33.96482,151.08475,62,1.77,155.2,16.01,3050
1880080,2,4,2,765,2554,50856,2.343,-33.78592,151.21481,78,1.77,155.2,8.8,3050
1605500,2,3,1,836,3711,47788,2.331,-33.76741,151.18832,107,1.77,155.2,11.02,3049
1250000,2,5,2,593,11731,53716,4.654,-33.70612,150.90622,54,1.77,155.2,33.2,3049
820000,1,3,1,651,16726,26000,6.256,-33.76791,150.8136,48,1.77,155.2,38.24,3049
700000,1,4,1,645,15039,33124,12.454,-34.0051,150.8581,41,1.77,155.2,36.04,3049
576000,1,4,1,645,11790,37024,5.06,-33.7734,150.69863,50,1.77,155.2,48.41,3049
1785000,1,3,1,670,4107,44876,1.508,-33.8268,151.10602,35,1.77,155.2,10.51,3048
1650000,2,3,1,556,17865,30368,5.194,-33.78849,151.08514,75,1.77,155.2,14.34,3048
1633000,3,4,2,864,2978,38428,3.19,-33.75738,151.18183,78,1.77,155.2,12.23,3048
1620000,2,4,1,613,6608,34008,1.776,-33.75,151.27239,83,1.77,155.2,14.02,3048
1070000,3,6,1,758,7517,20696,1.474,-33.86713,150.94148,34,1.77,155.2,24.84,3048
2650000,2,3,4,436,3556,41600,1.854,-33.92488,151.16476,12,1.77,155.2,7.83,3046
1855000,2,4,1,443,5001,47684,1.02,-33.85841,151.14202,20,1.77,155.2,6.33,3046
1650000,2,5,0,117,11320,66820,0.857,-33.8794,151.22078,50,1.77,155.2,1.87,3046
925000,2,4,2,295,11731,53716,4.654,-33.70612,150.90622,54,1.77,155.2,33.2,3046
838500,2,3,1,300,7965,45812,10.638,-33.67757,150.91278,45,1.77,155.2,34.5,3046
695000,2,5,1,556,15039,33124,12.454,-34.0051,150.8581,41,1.77,155.2,36.04,3046
955000,2,5,2,571,7965,45812,10.638,-33.67757,150.91278,45,1.77,155.2,34.5,3045
440000,1,3,1,92,15039,33124,12.454,-34.0051,150.8581,41,1.77,155.2,36.04,3045
935000,3,5,2,500,6440,40768,1.693,-33.75523,150.88065,38,1.75,159.3,32.83,3031
4000000,1,3,2,1163,11436,57408,2.363,-33.8057,151.16111,56,1.75,159.3,7.99,3030
2650000,2,4,2,400,10045,57356,0.865,-33.89314,151.26703,61,1.75,159.3,6.13,3030
2000000,1,2,2,556,11436,57408,2.363,-33.8057,151.16111,56,1.75,159.3,7.99,3030
605000,1,3,1,665,15662,30368,7.072,-33.95198,150.89671,44,1.75,159.3,30.52,3030
960000,2,4,2,450,11731,53716,4.654,-33.70612,150.90622,54,1.75,159.3,33.2,3029
649000,2,2,1,98,4767,42952,1.036,-33.85783,151.08877,23,1.75,159.3,11.24,3029
1280000,1,3,0,164,3164,48204,0.642,-33.8953,151.14668,25,1.75,159.3,6.74,3028
1240000,2,3,1,183,6912,25740,2.003,-33.93108,151.21145,18,1.75,159.3,7.32,3028
675000,2,4,2,311,15662,30368,7.072,-33.95198,150.89671,44,1.75,159.3,30.52,3028
3250000,2,3,2,644,2926,65676,0.514,-33.84987,151.13772,15,1.75,159.3,6.89,3027
2320000,3,4,3,455,2926,65676,0.514,-33.84987,151.13772,15,1.75,159.3,6.89,3027
1795000,2,4,2,923,5298,48672,3.684,-33.76365,151.12999,80,1.75,159.3,13.47,3027
1550000,1,2,0,89,12911,73944,1.627,-33.88334,151.22781,53,1.75,159.3,2.61,3027
905000,1,2,1,645,10539,31876,3.707,-33.96181,151.05799,48,1.75,159.3,17.67,3027
850000,2,4,4,556,3977,49296,1.598,-34.00258,151.0648,42,1.75,159.3,20.31,3027
1850000,3,4,2,451,10817,46800,3.211,-33.94907,151.19881,6,1.75,159.3,9.37,3026
865000,2,5,2,783,9955,24128,3.094,-33.90435,150.90114,46,1.75,159.3,28.89,3025
682000,2,3,2,450,13451,27612,5.958,-33.76242,150.87007,44,1.75,159.3,33.46,3025
700000,1,3,3,557,15662,30368,7.072,-33.95198,150.89671,44,1.75,159.3,30.52,3024
2050000,2,3,1,236,10341,46228,1.517,-33.88889,151.18298,36,1.75,159.3,3.63,3023
1467000,3,4,4,482,3164,48204,0.642,-33.8953,151.14668,25,1.75,159.3,6.74,3023
820000,2,4,2,866,2900,35932,2.768,-33.40857,151.46938,47,1.75,159.3,56.07,3023
716500,2,4,3,792,7193,40352,2.481,-34.05177,150.74372,98,1.75,159.3,47.8,3022
