price,num_bed,num_bath,property_size,km_from_cbd,suburb_lng,suburb_lat,suburb_population,suburb_median_income,type
2000000,2,1,556,7.99,151.16111,-33.8057,11436,57408,3
605000,3,1,665,30.52,150.89671,-33.95198,15662,30368,3
960000,4,2,450,33.2,150.90622,-33.70612,11731,53716,3
649000,2,2,98,11.24,151.08877,-33.85783,4767,42952,0
1280000,3,1,164,6.74,151.14668,-33.8953,3164,48204,3
1240000,3,2,183,7.32,151.21145,-33.93108,6912,25740,3
675000,4,2,311,30.52,150.89671,-33.95198,15662,30368,2
3250000,3,2,644,6.89,151.13772,-33.84987,2926,65676,3
2320000,4,3,455,6.89,151.13772,-33.84987,2926,65676,3
1795000,4,2,923,13.47,151.12999,-33.76365,5298,48672,3
1550000,2,1,89,2.61,151.22781,-33.88334,12911,73944,3
905000,2,1,645,17.67,151.05799,-33.96181,10539,31876,3
850000,4,2,556,20.31,151.0648,-34.00258,3977,49296,3
1850000,4,3,451,9.37,151.19881,-33.94907,10817,46800,3
865000,5,2,783,28.89,150.90114,-33.90435,9955,24128,3
682000,3,2,450,33.46,150.87007,-33.76242,13451,27612,3
700000,3,1,557,30.52,150.89671,-33.95198,15662,30368,3
2050000,3,2,236,3.63,151.18298,-33.88889,10341,46228,3
1467000,4,3,482,6.74,151.14668,-33.8953,3164,48204,3
820000,4,2,866,56.07,151.46938,-33.40857,2900,35932,3
716500,4,2,792,47.8,150.74372,-34.05177,7193,40352,3
735000,3,2,752,56.07,151.46938,-33.40857,2900,35932,3
730500,4,3,550,47.8,150.74372,-34.05177,7193,40352,3
717000,4,2,603,36.04,150.8581,-34.0051,15039,33124,3
710621,4,2,649,36.04,150.8581,-34.0051,15039,33124,3
706000,4,2,1144,68.18,151.43056,-33.27889,4326,25480,3
485000,2,1,162,36.04,150.8581,-34.0051,15039,33124,10
419000,2,1,682,56.07,151.46938,-33.40857,2900,35932,3
1915000,5,1,923,13.47,151.12999,-33.76365,5298,48672,3
1572000,2,1,120,2.61,151.22781,-33.88334,12911,73944,9
1060000,3,1,372,14.29,151.1214,-33.97075,10722,32656,3
850000,4,2,450,30.52,150.89671,-33.95198,15662,30368,3
773500,3,1,572,30.78,150.87759,-33.87884,9772,25376,3
740000,3,1,1058,36.04,150.8581,-34.0051,15039,33124,3
635000,3,1,314,24.84,150.94148,-33.86713,7517,20696,3
